GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
dmsABC	0.47071508423588815	0.19947769796360626	0.5910862554932997	0.5870674748918889	0.24143070178628173	0.5606669703398136	0.22237370819180768	0.1527294222174961	0.8449633592933662	0.1780834977318041	0.25533275709161585	0.17604804710706493	0.5234913194225218	0.5766851757166324	0.20129039166719906	0.37394325092146663	0.5045334188483446	0.41112339368249634	0.11929331752453881	0.514254722142618	0.6033822546926396	0.9287640729043168	0.586630825588502	0.5605405633587095	0.6703073084939372	0.2745753509320607	0.34389996049281524	0.16546769705033723	0.5861656070521201	0.18114965698064547	0.7397308139533544	0.4099455042865673	0.5312853174827261	0.4197588818573169	0.6426862238299939	0.1411458396706512	0.7926654437790127	0.5222443262721702	0.2866514983953601	0.6039876462518842	0.25210647143207005	0.4056164747056027	0.2664320021125651	0.551091454392164	0.2726590364769393	0.13965284458442614	0.44083050082419134	0.4594729687448066	0.510421519749997	0.7529772878926521	0.17100872966393	0.824712764120075	0.6499998462951774	0.3260266325091693	0.41631174130361864	0.6749233256772833	0.16674469869880992	0.7107233065501708	0.5420917980744858	0.4892467110746103	0.4992665198367887	0.20000696422677355	0.808435932494877	0.3670241473917743	0.5026731534104047	0.08682573550077798	0.3688230369924293	0.6789173912182327	0.6527073135537118	0.3813513222604537	0.6630296404482812	0.41153808558333327	0.27217265215733855	0.3248274299188359	0.7154864225297123	0.31739606066965353	0.523701387848757	0.30388039678781215	0.5501264163637329	0.5022098503826146	0.1735533151012743	0.6461864437583612	0.5099833345907735	0.6351136702448252	0.8177739833936741	0.399987739350288	0.581743400320812	0.31390308245428516	0.11908201006678842	0.09485725772977427	0.6456240692384113	0.12734178127241674	0.5082451982756787	0.4990771841507239	0.6002921674937202	0.5644052915919664	0.5417057987781432	0.6444387782818221	0.7272785826761659	0.2515379801871323
narL	0.642029519425705	0.6480870256200433	0.19697134103626013	0.700585959468062	0.8820027887143567	0.1429792137350887	0.9205956219545643	0.6612207154100566	0.08503191755153239	0.8066341014905412	0.8175602567212633	0.4274203907698393	0.9087955970284208	0.937103083151906	0.5664354674518108	0.6228932074736804	0.4779584181960672	0.3184469686821103	0.24389069364406168	0.7836500018069766	0.6403029027860612	0.05590052180923522	0.23143165279179811	0.44916528812609613	0.45022296579554677	0.7331023030545056	0.40228622453287244	0.5598677480593324	0.017244159011170268	0.20042561646550894	0.4319426042493432	0.7455896922542699	0.1718145301565528	0.4808177291415632	0.2503356148954481	0.07139016757719219	0.21407348569482565	0.7383375382907849	0.33756878203712404	0.5277378046885133	0.9406802418860949	0.24195268098264933	0.7487242977470502	0.6475664328318089	0.2836187824141234	0.5090234694071114	0.9688243715164937	0.5801933517213911	0.6399681575130671	0.3332871748134494	0.2730105754453689	0.011465312913060188	0.23643697192892432	0.8893322590384438	0.04969646339304745	0.28188280877657235	0.39143506484106183	0.08049995289184153	0.9426672191959579	0.4028510272037238	0.9680819359568729	0.3015550072304905	0.23615762824192646	0.7963392680898065	0.429457483580336	0.5841762025374919	0.5054910501930863	0.4524062927812338	0.4713526302948594	0.16654146369546652	0.11194422096014023	0.31706475000828505	0.5925420043058693	0.19211847288534045	0.4415433492977172	0.09506841516122222	0.7145836979251888	0.795287019566868	0.3717860160395503	0.4465618503745645	0.5132100153714418	0.4811255114618689	0.6108660760801286	0.4312863575760275	0.10818480770103633	0.7705415374421508	0.3974933307617903	0.51258610538207	0.543951835250482	0.261391879292205	0.5545546857174486	0.7060507754618244	0.5334652874153107	0.972383197725039	0.5425835568457842	0.4224195759743452	0.5396876528393477	0.0989038075786084	0.187784657580778	0.9232722510462524
nirBDC_cysG	0.7906731822526338	0.5400619137528276	0.4982486842695696	0.8948661757250728	0.6946909764044871	0.4797913130121137	0.6758163900346296	0.5279367963888688	0.5265713925942246	0.5888683342108068	0.7189865408829769	0.39820940146499945	0.935351280596075	0.9796704395182524	0.5489241915658601	0.6764220031423969	0.7298822110205958	0.5073088430494388	0.31921699064368914	0.9055230638495748	0.8794578591169212	0.5153814749329879	0.6404593516402016	0.749301408508802	0.8390304147297759	0.6696445890744767	0.6206751962391358	0.551683600972929	0.32298658340487524	0.2947531750403261	0.8069301524366026	0.8296200117513918	0.5137498211795659	0.608587985081938	0.6148860081826193	0.14994830434421139	0.6437090689775057	0.8717708413356152	0.4717055716965645	0.8461962757552732	0.7403895952140922	0.4604129813731541	0.6750158506693834	0.825733373419495	0.4483169504768343	0.4930682072339167	0.877185061168549	0.8255677837603991	0.796851968835603	0.7186923826882312	0.34785124821467883	0.4040217041853234	0.5797705430451013	0.8289804757248794	0.2617424633244597	0.637167880087494	0.4525668065566314	0.4124396062061051	0.9715595092779531	0.6902565341245895	0.9803903162202009	0.4129866164779559	0.6477891967803423	0.8226325464826149	0.6656432402741581	0.455482662138763	0.7377953353683094	0.788432414380014	0.8486991457148182	0.4366964465007344	0.44827644573172665	0.5228015223478619	0.6148400069758987	0.43149466877559933	0.8231836032475905	0.29854926434019374	0.8426908033124272	0.68146992166933	0.6499998787694619	0.7172306182443405	0.552019955447419	0.8309312035517598	0.830795490995059	0.8643803456750806	0.6067844205803391	0.762888043567133	0.7530683855109683	0.6286718126501443	0.49909633963061495	0.29114206166731693	0.8122333998633527	0.5617499200890811	0.7332013038266126	0.9916887871286704	0.8473670075813651	0.7402973518470256	0.8134707769513227	0.41797704281601566	0.6039269615637154	0.729055976926233
nrfABCDEFG	0.7940588842488431	0.8063784703879853	0.4258248521890252	0.8583035084930262	0.9557444676970119	0.330563700552681	0.9573538032076085	0.8517029806463187	0.2009307433019005	0.8985964513609263	0.9529153796786447	0.7096836080580915	0.9672981522283981	0.9734204483418935	0.7961625282908107	0.8069295064265706	0.7192748068661438	0.564887573371492	0.4543376012190803	0.9128526681643525	0.8740539898503235	0.14829206736251094	0.4512052038482117	0.7167471659671836	0.6791082334474823	0.8591384937821582	0.64474656488854	0.7889972775954597	0.044357109889434754	0.42838322124714573	0.6470271234078605	0.8832829878958738	0.3740207236884596	0.7414334933860443	0.49422231005500555	0.178081326872488	0.4229850743399756	0.8940498000739925	0.5497488813460442	0.7878850555454423	0.9788097972755576	0.4805776000795469	0.8876184036759429	0.8680124125232267	0.5195419769963089	0.7440324776189456	0.9877987264366919	0.8095700913381007	0.8308711300007993	0.5536283964041973	0.49199547827999635	0.030794614458194643	0.46801293864273547	0.9591605017180583	0.11830610822766685	0.5317495865406229	0.6343350298060962	0.17268742630008832	0.976198683728518	0.6221106137960183	0.9887381291964192	0.51419292817847	0.46825834787060666	0.9180114671403519	0.7379959698724051	0.8143260861626539	0.7077078390987387	0.6500001246871842	0.7416454003247184	0.3551578857365345	0.24600829355994253	0.5499373954930419	0.8326430298112382	0.39584833448475715	0.7275519955846678	0.23328535962444458	0.9204627670929068	0.8873778900120038	0.6452608586046428	0.751752567664465	0.8054434866134318	0.6446128905452407	0.8678410433518992	0.651532888315945	0.25111063898759084	0.9231397375766573	0.6326568584548965	0.7358972444128622	0.7404882244654349	0.5282658729409634	0.8088164045370136	0.8900778564729149	0.7568329336979069	0.9901999320280856	0.7450713621869921	0.65035026597982	0.8069827852263524	0.21238669368603225	0.3728708961681369	0.9766114868813945
fdnGHI	0.8578258578870513	0.5814907832343844	0.5847996809447664	0.9372828406916861	0.7472649857457978	0.5344011420104496	0.7457455569236893	0.5507752805585705	0.6145827274034519	0.6779060256706624	0.6968973277410416	0.450268153457199	0.9378134926578318	0.9851381043200393	0.5309077459259396	0.6553969710694584	0.7451101993289038	0.5498606421510879	0.30414717912599276	0.8949598332339973	0.8752743287463617	0.5490838822518356	0.6045334708014588	0.725715921444219	0.8021193134340263	0.7474140846073842	0.6052036714115434	0.5542513904799603	0.35746560253922105	0.2941865757855926	0.7657267350713391	0.8405174436807276	0.5121369051512469	0.6795333708174973	0.6123675667367388	0.15182961961683977	0.7232111525347842	0.8844801660430964	0.47333106691087934	0.7898486577467356	0.7588446805602799	0.47846726490521907	0.6953421045020255	0.7954060911985089	0.4612406676057451	0.5026169400012449	0.8569366731150817	0.7825984361268757	0.8289296210317523	0.7670936538553368	0.33568390014138866	0.47051845963718913	0.6257950513031051	0.8758668308502343	0.31032420968544827	0.6446872809866104	0.4447441620210517	0.530417136225551	0.9738609135798046	0.6615788999675614	0.9818173781772058	0.40484924541915035	0.7652413812075661	0.7857060696985699	0.6929524600602214	0.42593732723604105	0.6881799482069886	0.8368260628831332	0.8292943786013797	0.39972248142092776	0.5118690283591859	0.5575542175241571	0.6228574980810782	0.4345097823665378	0.7887490538910789	0.29105167866978643	0.8611316929465541	0.7648706666301704	0.578218173991797	0.7403217596550377	0.49681715020186046	0.8426288548727123	0.8207108064818647	0.7592007450123293	0.5610940345052021	0.7858546327448975	0.7152653036194102	0.6484077066569137	0.45032555960633275	0.27284983054422696	0.8533245803107641	0.5832563859287757	0.7728371385889876	0.9922931476207911	0.8748843891245	0.7478024874238046	0.8252537545293501	0.47757787062221235	0.5917652275152882	0.7324605509596699
caiF	0.3396522387665133	0.19324993547333597	0.18799015758105744	0.32252170122179946	0.10572425050272163	0.22718071506320667	0.10845852986408241	0.07457172460453555	0.2636998742007321	0.10178342982861764	0.13519197699754854	0.2343343646826666	0.2598298789797052	0.20371340599260904	0.12482212424087066	0.15566545699893455	0.23792896452309412	0.1708269506865396	0.291741738960788	0.24479647159734103	0.2840651014733355	0.5354160711512236	0.42039481024941416	0.20785860969647066	0.45099809027738186	0.08722237610565202	0.2779295183497975	0.12027950471041371	0.7067178235622816	0.34127991148564846	0.2140168005709743	0.17969136008875913	0.2818421547570975	0.17212500850647366	0.2605729728156772	0.20449357650852157	0.37175850263004206	0.21627811836905192	0.18726564220150246	0.1567090309896646	0.06863252716214914	0.2358045013831107	0.19891399644508614	0.13182587548616484	0.299303064944442	0.10662724373772106	0.14188739621082885	0.10728018311748215	0.20665027704533162	0.26706196959733003	0.2760875823266987	0.7497239601358523	0.23003343672065793	0.11750182886406611	0.2330575998593146	0.4604035035569967	0.1339654955459047	0.33921432357534764	0.2763529971353422	0.3880467247958637	0.1517212448261357	0.19260406829277452	0.22672424730111815	0.2441350531852579	0.185584865372161	0.12690540188952598	0.1905129724315522	0.2338736838926904	0.2449519652716836	0.23497534095482256	0.6155570401520915	0.3042306598810906	0.12611821095742135	0.1599609840850033	0.44268300830842994	0.3423189316137609	0.14379567868702933	0.10163407769373953	0.16319824476518974	0.23989077602136277	0.20613298179210474	0.28521426855054416	0.2673487341257725	0.24177287028271224	0.3994245777715354	0.23291390906025197	0.1820126481418175	0.21378191533393326	0.2639375131286941	0.20673114207448295	0.2192765496774975	0.18633352709101125	0.25630957327504544	0.1429789784333311	0.27378505777901174	0.18206598056262746	0.22761793085668894	0.4552661684349042	0.22393229225873193	0.11236598909861244
dcuB_fumB	0.14211513616568924	0.1062473679734512	0.45054074315729414	0.24724143933419573	0.19455451913694516	0.5147659108833104	0.05254929401189208	0.28603622865344586	0.8154111739356362	0.14395380943092467	0.14032775171662504	0.12901308168340353	0.1419446774165544	0.3391497307887712	0.17562876058985954	0.12352339608164313	0.2772768971296758	0.500453024766507	0.09035532465957664	0.12476764602844768	0.24812570357809707	0.5353328233290647	0.22417311154423106	0.3232068829058737	0.16034355612276097	0.3813254558176183	0.34622417812324713	0.12992907556306077	0.23455095856476343	0.24739342934469208	0.25133286782761805	0.27724615351310034	0.22151558697240079	0.21299611019992687	0.16083274490706448	0.2446155199262183	0.5862687177998013	0.24087743522041824	0.14530012531492342	0.3513056174213444	0.26543041742915474	0.21592756670166435	0.17976774671773232	0.41658766800678926	0.33874558122135595	0.21720410096474874	0.200725724054002	0.5161756007741374	0.33882048407759785	0.2536578771858693	0.15724334751614513	0.2644167441984977	0.5548881252771464	0.19699861707945618	0.4383520507372516	0.32820235329271386	0.12323285037955792	0.19595178832087062	0.0876268526720915	0.14926265022317176	0.13976208023527906	0.3302959544440372	0.46489661304286634	0.12673800422741727	0.36771265897281386	0.07158171360866157	0.11263721338267497	0.2125086745265409	0.14203036398095986	0.1489449637262993	0.24171579782776945	0.25637210705980656	0.13192204081367673	0.3605502202103523	0.14199000016083438	0.1601570867384331	0.21723500098703663	0.26779812668517117	0.3462890888285191	0.3236831291456422	0.21639769898863237	0.13811275294063932	0.1764042205818137	0.5675334141530992	0.36784086699326696	0.1279612404698545	0.4781049816932693	0.34012724528638955	0.09392977441888485	0.08629351313699547	0.28813335822884467	0.0644173878275155	0.14452652319204246	0.38801883390008907	0.35520935825610706	0.3339828027967109	0.1396917747833302	0.5483121980043492	0.5826159682578075	0.22054940045871055
fnr	0.6523982309483024	0.19675291911698878	0.5032004727981985	0.9826522505931694	0.28265990945510566	0.47606122237630194	0.26962437736801803	0.13793057366274297	0.878387642955093	0.19081499986350536	0.259036815026775	0.12487084558233619	0.7707667092997983	0.989220730749296	0.17183078173547983	0.36802687332965434	0.5855587469413877	0.34420295082964003	0.08121703169308603	0.7498409662546637	0.9245196844508564	0.9699145717301666	0.5944057533051819	0.6504696665564325	0.8796591739865325	0.3270061258226633	0.32994190556928515	0.1505342007149011	0.4082062121015042	0.11031099990941583	0.971289592895471	0.5677971809636801	0.4626599079929293	0.42571687907911837	0.6120184690225869	0.07468606322072446	0.9773323370614249	0.8066847463459071	0.2500928782392293	0.7596312871232092	0.314735695021227	0.3177391078788787	0.29265655879862607	0.6742902589616773	0.24360799044370654	0.11775100626982749	0.6289574685506523	0.5493518577422947	0.697556445366454	0.9157350991326284	0.10885551641695201	0.6416938838083297	0.6435595725197345	0.4209812150802463	0.29545147088356316	0.7312380048337871	0.1301171558443457	0.6276703304611146	0.9409081331564649	0.5125960160512477	0.9379850202748731	0.14223043131642044	0.9212928879172614	0.4801106355153024	0.48842339683324104	0.07535180472768843	0.3888493017293513	0.8677860194736572	0.8649231804913864	0.2693308221641928	0.5613881940953434	0.3184096848126501	0.2756527292076498	0.25331818452104926	0.9736030644012875	0.18792219972237945	0.7211227835452217	0.3837922669481486	0.5104289341252297	0.6373283264692873	0.1517868461087346	0.8464711372804504	0.6884676643346371	0.8857699907318921	0.7749381692489087	0.4989240122959017	0.767706005633922	0.32294357544742525	0.09353202325291932	0.052457601530477405	0.8392181335104094	0.12006930727511644	0.6335137272253633	0.9897421918377811	0.9123685027122593	0.6794596159676922	0.701009161525956	0.5683104717172682	0.6510951995255161	0.3235197076573968
focA_pflB	0.4420967194391427	0.33519280248133226	0.5012095601230943	0.39843720829441853	0.29249990975639695	0.5416767807035883	0.2820091426197584	0.17536629287041527	0.5390665908016395	0.25556208112641415	0.2996935963308683	0.36252919320083216	0.38090530799713773	0.2648503499774455	0.2940863823961162	0.4081237085630636	0.4260321650125369	0.30227195332635526	0.4210116979561104	0.40751716586700437	0.4398720638276814	0.7783336587428406	0.6539014780100647	0.4619000309058912	0.5321766849762893	0.19518181096842538	0.3772110464942162	0.312552746386675	0.7789406956148864	0.3851456840004088	0.5192284313710696	0.32073582306275866	0.6703164540621348	0.41236311963927286	0.6317997772045988	0.45522209817300335	0.5869273042777278	0.38911187724682966	0.4994918016448621	0.38760354064807445	0.19785616899979808	0.5521811444504103	0.30710025927214823	0.279134389109583	0.40758310536404946	0.26162823762792053	0.29240891557801135	0.22782424539439253	0.3624297063858929	0.5870520676092279	0.4164606565386971	0.924924351291466	0.42303935960957995	0.28266673222313465	0.5769988796830001	0.6331173759869251	0.43026080070118267	0.7520315441481116	0.3860256809934348	0.5164123268797971	0.3408495036445537	0.3138174096762659	0.5570796588092803	0.3502676349966012	0.4091425835788058	0.2582660551545423	0.4894162494834154	0.5397666334709739	0.5413472731273667	0.5985101362982908	0.804210807606307	0.4590125989313739	0.3920044526888346	0.4863513305518371	0.5564343622907173	0.5802443798382583	0.4241748499039435	0.24915642445464517	0.47423587723339555	0.43259769215928434	0.28635244006196814	0.5563584266345034	0.43818407981131335	0.32779794587777605	0.730405198090999	0.3747708166738195	0.3602056855245777	0.30069987743200893	0.307682613240522	0.3458261925437263	0.384357267849338	0.29891304314868844	0.4473717161458075	0.2248745523135904	0.45561103194915004	0.48236799714823814	0.5128528450230042	0.599362934111716	0.49194992582915953	0.25146639183802805
yjdHG	0.2159529139753431	0.26040661660954356	0.7609437323361031	0.522374679800123	0.6149896949063987	0.810666250170043	0.02706105308607221	0.8899276831223356	0.944115907766897	0.4439213995356113	0.36186403851024806	0.3047414349857718	0.2559925145469606	0.8351979942276546	0.46897979360073805	0.19979077554307878	0.5694025536067784	0.9819701554704051	0.1724970389623195	0.1513050824869424	0.4193123755976558	0.5735444761812687	0.23585965903475883	0.6190233544912189	0.10379831050522625	0.9793865057171836	0.7248999724685561	0.35677547263912857	0.17708136700093746	0.6037016287446022	0.33669887762516737	0.650879114156468	0.3097138300072402	0.4384765448048711	0.09900056431069969	0.48093800712376833	0.8227749481849272	0.5004220334812999	0.21349472529254854	0.6994580465733222	0.8632345018824243	0.31705153570510447	0.5079679498448968	0.9364358115722405	0.6871806055127122	0.6886517219879333	0.5669895473401994	0.9911254328640966	0.7130880711744699	0.23898295406252146	0.30199022591114044	0.1614451080095023	0.922409132969115	0.6122554284520447	0.728615993047908	0.44470224087126553	0.2840458774007857	0.08958858740516007	0.008512091124430299	0.1651632348075509	0.20647856267169118	0.8099810754684587	0.7090543384901201	0.23780850390903652	0.7038707127647419	0.21701709600165486	0.10003189346753061	0.2635698562953621	0.044404957443475716	0.1429931428283453	0.21531898388639092	0.4844020535238087	0.26979885320179164	0.6337354644201696	0.046658753184601665	0.22334372228942811	0.4303936534561216	0.7502384488545261	0.6674092619960905	0.5800350736826658	0.626452011987567	0.08661081874743104	0.280711546074599	0.9329229649615371	0.4133823101874441	0.23713367409072814	0.9130484564492701	0.8284584826805707	0.28491214709356427	0.17061230028048158	0.5598388304933906	0.1556494568940252	0.11367450538091363	0.916242528394402	0.653103942816432	0.6190766396466643	0.17205902887508273	0.8028833705171655	0.8599242453424728	0.6962337149229959
