GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
gene_077	0.015097428551166843	0.005236435019925776	0.008934727564651752	0.141007028933301	0.012611923595279621	0.0038758681060226496	0.052761835688624366	0.009656946181923037	0.03356645178062352	0.007753362067902285	0.03243475243235464	0.03200105895658455	1.5506858025900788E-4	0.001524533817294535	0.050371964423975665	0.026616768037924565	0.004525668533019012	0.03740514555940084	0.016452007471886583	0.026959562007616115	0.006814066833178645	0.03827489738383985	0.004738459533558404	0.043330179196542744	0.014918613299167091	0.01259448640833738	0.0015846171244848523	0.022481145976896426	0.14024766817095172	0.005595138662949867	0.011005259079474031	0.01881105835764966	0.0021997003143549468	0.002441465432102747	0.03458441555132139	0.05431366573654115	0.0015298692877825121	0.020660860588814913	0.033030809188406535	0.025515586002024204	0.14367794973470285	0.01956215666034118	0.00999413048927849	0.0029517594900183	0.0077003252365254035	0.061657639774715285	0.027662027941136712	0.011926726433582616	0.01671392252159011	0.003661383372913417	0.08091674072880539	0.001688498812340323	0.006868598068212767	0.007346681869674534	0.09163446369489688	0.03074784275619181	9.117491735874502E-4	0.004636373939930813	0.04229705743610977	0.029680360624249037	0.016644367713130936	0.05384952157570931	0.13649162534269368	0.009050913343218125	0.004303617473804409	0.015986339454548675	0.0022940763429495996	0.013914597102011459	0.0860491028650148	0.02005133772161712	0.051329638992864766	0.010485685469645506	0.012693473353279597	0.046834943557345375	0.008355460469997928	0.011151478460218663	0.011689997168586054	0.004009096224104726	0.0021041269893731286	0.06486854095409383	0.05116926856970433	0.011516379659960226	0.009025206719774491	0.026918094760222052	0.0019353478566221452	0.058495103183011744	0.019246759266034603	0.001554077812066615	0.2518679322233508	0.0014754616273209798	0.11799552035681979	0.09685629642844422	0.0024353674816312873	0.002067608514143914	0.10204009612365289	0.0010183543941080543	0.00970502251679588	0.01784302702846935	0.012078372459911715	0.0040611455185959435
gene_034	0.06493207468487548	0.022475982479294408	0.037873455746571104	0.38449686042092796	0.048363217386113475	0.016962036124323475	0.18008213419648994	0.041702193138653254	0.11935797477925181	0.03395032520345971	0.1203766825399988	0.12684818874870646	6.453428513543785E-4	0.0068105235400590745	0.18947611764749042	0.11110671137342386	0.01803823677388526	0.13414951064482677	0.06355584350994004	0.10844596550632665	0.027931360498969517	0.14310633287951874	0.018363264541287262	0.15285760622407796	0.05870255149580305	0.0571318633565332	0.006810915189233089	0.07513175812498853	0.4396299546970144	0.02381402920067651	0.043480293610723704	0.07487278599553182	0.009041122792987664	0.010064536846842678	0.12210618520200908	0.1822896490009191	0.006553240845752216	0.07807183107922405	0.12333777128192167	0.09328973630411071	0.3862024923212954	0.07592366191306643	0.04143331409069868	0.012063185077989702	0.02875253848369842	0.20466640268811953	0.10974339037752484	0.047285646390908924	0.0639453736476444	0.014769424920748446	0.25559502749802354	0.0073695561411927435	0.02861448625956871	0.028800068231493087	0.3003334428984963	0.12465235733793377	0.003773152219489483	0.01971529913101292	0.14452732912741992	0.112497937285895	0.06976641562165807	0.18722396212049008	0.3784818895137296	0.0348200256759199	0.017159355837770698	0.06200020201352516	0.010001048956414736	0.05419379044393916	0.30250410742627454	0.07553116210923598	0.19015647071257907	0.0436057181634884	0.05197679321904367	0.1796313756620708	0.03307099326531362	0.04311426873024637	0.04798751104307484	0.01712306597970349	0.008159440808425204	0.2371356201040141	0.1820192645763465	0.04708427807599011	0.03603204134563747	0.10881217205555793	0.007863345392897288	0.21162484058799166	0.07403967811362185	0.006409851850647936	0.5443587034328489	0.006680055846645647	0.34662103184752147	0.31065805769616694	0.010854377777906259	0.00874808793634349	0.31609348367582796	0.0040859249194431495	0.0409567603397651	0.07076646098691936	0.0472994004802666	0.015555163040034225
gene_058	0.9584559218777211	0.9852626647770932	0.9725510754577535	0.6500004599694222	0.9655994329109803	0.98814082809168	0.8544064855926465	0.9726951938542653	0.906483669141047	0.9776223944486953	0.9049297860394837	0.9001073646934188	0.9995383169504122	0.9955890743898841	0.8572277468924342	0.9229375491457569	0.9875826161146696	0.8998123657923431	0.9569776924844329	0.9240957486132308	0.9785928859388726	0.9011822180520949	0.9858616778923961	0.8787305670817809	0.9563229918424975	0.9644293043065977	0.9960184805805404	0.936430673634496	0.681173448918994	0.9837901730632553	0.9681143690095888	0.9471153776925313	0.9935266510722638	0.9935440027089606	0.8952872074119129	0.8513011403468603	0.995507042195184	0.9416880109221694	0.9060735727009961	0.9302092831056252	0.6561849202474036	0.9454278096801025	0.9739296373769663	0.9919389088618271	0.9761547342181706	0.8440828077023743	0.9234031436450404	0.9642062226355748	0.9531410535848538	0.9892962028021484	0.7925298989499718	0.9950125972295228	0.9798749531649099	0.9797436868153666	0.761585323612752	0.9196723751372509	0.9972271748701942	0.9862502584451176	0.8857983484583669	0.9171854934560291	0.9500044965508465	0.8526048283921063	0.6756547736924945	0.9745834184150187	0.9873803165788645	0.9545293040211409	0.9932790719034942	0.9598015875475086	0.7927247678013014	0.9467568484085224	0.8628540666968462	0.9694732235203561	0.965066717975479	0.8763304130820155	0.9764236615179084	0.9695145113650921	0.9633361102016073	0.9886355447373963	0.9940887984767688	0.8176405492595942	0.8554518631979756	0.9677970404957852	0.9723383245823859	0.9259181324528535	0.9938680998627933	0.8415393437837819	0.9410443660820456	0.9955412733350143	0.49118119157134904	0.9961289813930548	0.7079862847972399	0.7513840625529182	0.9925401626124101	0.9937206615034366	0.7583566048794947	0.9969200106751729	0.9721105207515965	0.9474539197464212	0.9660169546993295	0.9883405070009489
gene_086	0.9077143779479822	0.9634074743318856	0.9421279165069295	0.5185497096861292	0.936692856160008	0.9761151913231719	0.6781107586982379	0.9501020021564227	0.8257258585058701	0.956487347173997	0.8643285466091242	0.805291571822341	0.9990673108740317	0.9909912584314629	0.7431106830239802	0.8218861808315987	0.9748193017862901	0.8213344357180814	0.9456907611219062	0.857334805635903	0.9487976015680717	0.7643349540508023	0.9742488120419144	0.7174751264144648	0.9373664752404337	0.9374754062345338	0.9919965240733872	0.8675028429665903	0.5532121911237515	0.9671693085222532	0.9408029146769672	0.8764423064465998	0.9862858943519739	0.9872159320209734	0.7298601297799528	0.7020694362205887	0.9909029318424774	0.9097354984735477	0.8432100506066502	0.8597320741010894	0.48462190012687545	0.8724406131691055	0.9510094849432252	0.9819473229864066	0.9489993398189462	0.6576883318234749	0.8524758662439762	0.9270109223051062	0.9109252936774872	0.9772322512438902	0.6847583634673822	0.9902412215376449	0.9656194574440379	0.9494902836603496	0.6642188659503198	0.8567063423353591	0.9943439146114846	0.973590683303315	0.8068666704212603	0.852369760195145	0.8950962491470427	0.7366711485637839	0.5191301869237115	0.9592011371669488	0.9733294633319022	0.932091468700408	0.9865406397863841	0.9091018526344011	0.6294646830444324	0.9199855986897566	0.7495690065946471	0.9402502288605451	0.9365059316306241	0.7719976673181544	0.944365913788831	0.9409623745217512	0.9395675227094646	0.9755816927228735	0.9883946002345585	0.7004033522937096	0.7754639396227799	0.940987328108245	0.9513405321278341	0.8244711036463673	0.9884233692663071	0.7018342424442837	0.8627501894000097	0.9909506120643504	0.34474351470604064	0.9919470153206473	0.5963996108490279	0.6123390178105649	0.9856096309203163	0.9873280638302079	0.6445084174531787	0.993639853819377	0.9338628415135259	0.8930598109636747	0.9277926999647302	0.9726396999226125
gene_020	0.9740493753233981	0.9914963428814726	0.9850791159953531	0.7031692201605136	0.9741528872797258	0.9930823664222787	0.8938524818860754	0.9843475632015826	0.9496667375357998	0.9869118711010012	0.9271117806035173	0.9220790422479899	0.9997283241301952	0.9974603485634507	0.8887233560802004	0.9489814446988324	0.9929388667269249	0.9462905589177296	0.9727497065554856	0.9495748504149487	0.9865179655256323	0.9114316999300901	0.9917859058967297	0.9350185361862157	0.9736749519980985	0.9802928358101697	0.9976348625185074	0.9613159278892672	0.7752955825214094	0.989494040588085	0.9796011641947433	0.967869120979449	0.9962146570513698	0.9961585587852523	0.9267768434545687	0.8877713652621981	0.997332277903705	0.9585624696897933	0.9382671401159034	0.9609891727559705	0.7252441170576883	0.9672942929420605	0.9850552443102973	0.995248974841399	0.9857463152471996	0.8830503747469822	0.9511928786961935	0.9752215828852712	0.9729263853457967	0.9933409419425948	0.8712379663723766	0.9970210738288625	0.9877542052789943	0.9855437572542162	0.8059388872438765	0.9346772556636747	0.9983520596817578	0.9913856582868547	0.9382256318140473	0.9519818590099306	0.9674212705421322	0.885179819997092	0.7235060239768623	0.9845778388172401	0.9922566407921174	0.9671493110193738	0.9959479432159279	0.9769263053613839	0.8352041730502847	0.9730187337207435	0.8881050369951662	0.9800844404405804	0.9766975568987858	0.9394091185411069	0.9876595064464188	0.9781467391508728	0.9773116360874811	0.9933505116994679	0.9965269104303549	0.8747001824980343	0.9078274477077416	0.9758649803807211	0.9833692998373377	0.9501688100797857	0.9963540790410983	0.9002061892200872	0.9564508469240508	0.997358933032573	0.5088551962270592	0.9976838830057063	0.8003263730324527	0.7535222981194883	0.9955486151841868	0.996263382555199	0.8302857297882107	0.9981946979241212	0.9840141947195897	0.9605645624369338	0.9788879559110994	0.9930318687711328
gene_000	0.9229045975929159	0.9830060861757042	0.9691803531970102	0.6893816211158417	0.9557758638717155	0.988202688025634	0.7446154724218469	0.9748766249022219	0.9195297751864387	0.9720532564951754	0.9392023201361491	0.8887859062651298	0.9995427065029668	0.9955995450428947	0.8817032999389518	0.8852460359849025	0.9884282451110274	0.9295432444197939	0.9632074502796976	0.9403740144241123	0.9779162828213445	0.8250033859233294	0.9858691678240292	0.852970366410517	0.9743929517705746	0.9679659953554894	0.9961122181881488	0.9539944657786118	0.73949189100928	0.9838830052146683	0.974944554756264	0.9318488471618623	0.9931301257231855	0.9937500841122809	0.8561382412764561	0.8090804777143901	0.9954029729426322	0.9457953132492534	0.9064618097722605	0.915651144899646	0.6988072500223009	0.9316971466521352	0.9795061210180468	0.9915851221060484	0.9768971180580738	0.8166742266288817	0.9554112669902399	0.9496744158562939	0.9450761942442139	0.9883066046848009	0.8513514442686558	0.9950226936932096	0.9827704670812039	0.9723299373170308	0.7977032643720814	0.9152826620798792	0.9971881261128844	0.9881457870138372	0.9212807869172526	0.917696951326291	0.9498006740133537	0.9250853216745228	0.6946872588735862	0.9789711506145305	0.9868528460874074	0.9731652327876829	0.9930257122013584	0.9596040833530973	0.7715442163454743	0.9578159912369467	0.904236442139037	0.973889075846139	0.9457066557065309	0.8819728874979791	0.9760537359066994	0.9613292858831651	0.9623340432484172	0.9869016875997311	0.9944295085275795	0.840089917056947	0.913116625649589	0.9618340842057945	0.9762432855257109	0.9356211962164295	0.9940407927722867	0.8314650472017755	0.9186257957512397	0.9956890964637014	0.48958019188983043	0.9961252674293805	0.7231342208918391	0.7837377438850854	0.9930806782936971	0.993648399931611	0.7515453355693782	0.9968391998822119	0.9655937721249505	0.9337056122843922	0.9721184291459619	0.9866092476131146
gene_096	0.03012781830604314	0.010497906148844207	0.017091573753646495	0.26911107340072776	0.02229326664327557	0.007573432597640323	0.09977494923649721	0.019447693993865933	0.060316708006717505	0.013862649054086813	0.06237917173903666	0.05964810870242332	3.086509761439376E-4	0.0031008578654140506	0.09338966913534898	0.049936163998922985	0.00898636775376869	0.07134174659065676	0.03043568079166254	0.054197851048271496	0.013356253312583229	0.07310351148120961	0.009365390960593682	0.07639285886993818	0.030880925486212987	0.02528710359875685	0.003283544141141013	0.04532973190636801	0.25442700786511474	0.011618960765490896	0.021316772408071075	0.03760275324849565	0.004357317956141273	0.004851568838648401	0.06289250283501342	0.10775481300456118	0.00283397398123579	0.04478153075613857	0.05692283357773008	0.044694274984406264	0.29199396671441047	0.03852079188316958	0.021022013038267076	0.006084399208456914	0.015633536140125175	0.11346692475809758	0.05057934433889189	0.02170624602062921	0.033198545580962024	0.007910579900137538	0.14744552793390153	0.0034347430115616606	0.013873830989205416	0.01533323770813403	0.17720482314103672	0.06231311826625212	0.0015621740100844402	0.00847783770197209	0.07701816488096422	0.05823702704224745	0.03150487148208215	0.11177732396293284	0.22323157747410197	0.01600350120792902	0.00860115232983603	0.03216903916270149	0.004471998413883035	0.02559780325868625	0.1472486391947909	0.03721613097002606	0.09925460349134477	0.023278804837058048	0.02524296627811566	0.08707172077387666	0.017339158817020403	0.021580426238517456	0.02282504119367649	0.007820017247438943	0.004255495590287695	0.1233066015083777	0.09627682533097888	0.02188062865564682	0.01706583904667809	0.05305909069487059	0.0039336770272290315	0.11766906154118621	0.037180032721543875	0.0032146204212616827	0.40467039421895434	0.0030074787436972766	0.2062920584889097	0.179090421615875	0.004619470458685376	0.004204235558367432	0.1799690958264891	0.001943329153434529	0.01888188719231022	0.03363093316898206	0.023512070048632604	0.008102741062635126
gene_004	0.030095609775381525	0.006122733216875456	0.011255408576294127	0.15301019921853729	0.017836366336167354	0.004345052602707372	0.10430606994029765	0.009281818549690369	0.032801765452231846	0.011060710104516275	0.02310378916163865	0.04388938012722029	1.6800970801206865E-4	0.0015777404496098713	0.04445355941187433	0.04510648578726164	0.004651652842081792	0.026858759035107642	0.01582755363750146	0.023366552764502054	0.008066885070836343	0.07204743643853967	0.005763302903297568	0.05782960129093794	0.010254741648921904	0.01264611711194452	0.0014823277002725477	0.018026626562887404	0.10900450030990683	0.00625168472588769	0.010373289143392974	0.027926506831534956	0.0026446095597000524	0.002430924008233511	0.05843125694985087	0.08411336260139737	0.0016226471525840655	0.020146190544349872	0.036869050932678636	0.03491368404814934	0.15174347785239503	0.025301818397148634	0.00727645904299274	0.0034856247692289406	0.009189628510489626	0.08032800114074523	0.017401927478366275	0.020791919926550332	0.0212015448665855	0.004551050860598729	0.06522325997851565	0.0017848980594296119	0.006534285213168406	0.012300699201395275	0.0931328909658427	0.032569604055294174	0.001015108532241877	0.0049880398027916	0.03405893861297479	0.03448297390259937	0.020026525735066057	0.032048693821925336	0.13274773032688275	0.008211562785314546	0.004745882928893467	0.010669771941419088	0.0026464081890620697	0.01587672583689042	0.0938571300229623	0.015414285101171753	0.038807748566296076	0.00977576067920293	0.02099250283456731	0.049997912103534235	0.008131244412023092	0.014669592103634025	0.014755670058431638	0.004750849798407033	0.001991166010655859	0.06206560594239932	0.03328119116065211	0.014708880522805163	0.009289036011306592	0.023741730197604925	0.0022509210126711162	0.08100432421176267	0.032927722406834045	0.0015593847508136376	0.26582387350630426	0.001446136388397999	0.1266276701369822	0.09718889156053753	0.0025745756454771535	0.002221691050470248	0.10938741116851552	0.001189107725352729	0.013525809981530162	0.02495252650430538	0.010800153825163262	0.005261448763418966
gene_017	0.03676407393008419	0.0069475666321357175	0.013954014976158717	0.16213631720675495	0.019813460007898933	0.005923451813647187	0.13632812579130502	0.011445247222368659	0.03733189569532834	0.013191893093118657	0.027744799181097582	0.056231205307649246	1.9419751705207508E-4	0.0018526404367700746	0.06351358686873863	0.05269148800747547	0.005486586247324909	0.03635334970192501	0.015757935716557682	0.028873811037486267	0.010344952224727342	0.0925919450122993	0.006382732837466157	0.07260589517937667	0.011826479384823037	0.0149628575530565	0.0018492717091784384	0.022038836504427995	0.13517598250798984	0.007352743932888481	0.010926675379726396	0.03247917263860886	0.0028231749096493818	0.0026605746272291685	0.07060272705354098	0.09489499832751577	0.0019124450018960877	0.025854929854019822	0.04374992318921797	0.0390893384026008	0.16977508217481133	0.02730550988758363	0.009663813035262998	0.003781700086067734	0.011063478136404997	0.09475245308035483	0.020809364383723196	0.02276105892623544	0.02252595890208576	0.0051104825166435625	0.07849069402268667	0.002221830989072625	0.007652413389271226	0.011761617998222975	0.10181275963487649	0.03986229150332851	0.0011417984718680042	0.004993171863695827	0.036486040518932734	0.038406392891344766	0.024390765212274217	0.03365025994869835	0.1727173020337797	0.010247617055945514	0.005963303479990734	0.011124199983525684	0.003282323582542502	0.01961423276744539	0.11142154791968566	0.018123582805449834	0.04520213487321104	0.012254983983746371	0.028367701833626913	0.06443676750433998	0.010726029866101975	0.018392616944278663	0.016833571654068936	0.006123767356878564	0.002414658839533266	0.079322876097491	0.03899540912318758	0.018461308821609783	0.00997740114300025	0.027760945079679914	0.0029364543943876326	0.07691802322667098	0.0359124782575141	0.0018605888369791787	0.3226769582343308	0.0017541344472408035	0.14879606397377063	0.11650256782932951	0.0033446353659792047	0.0028176406476705827	0.12493281133463303	0.00148565045141988	0.015439591101867475	0.030528301552771135	0.01230658173027851	0.00688992052451938
gene_039	0.971043321375323	0.9852048463642922	0.9793173580099047	0.7351648641616131	0.9770906755293911	0.9913884380151038	0.8308644076002542	0.9803819780597534	0.8941569044120629	0.9852919287984349	0.9595113975647168	0.9218406879191507	0.9996494818916104	0.9965873318323851	0.8330294622843509	0.9269617407528569	0.9907908230685498	0.9189760245529074	0.9795374067165601	0.9519919396131317	0.9794404825274334	0.8750233645343706	0.9906260531091714	0.8546782002585931	0.9783636948117306	0.974589113319994	0.9970645994220956	0.9468293907083405	0.8553879150054293	0.9880382290322861	0.9761607071349325	0.9562793722754283	0.9946670570202631	0.995204161148578	0.8990790291183114	0.8715842920398957	0.9964749730089979	0.9678667776936088	0.8875973540572345	0.9490962975049531	0.6943300155274019	0.940188692617486	0.983489409627873	0.9935242917438589	0.9794575077177643	0.7990702006002092	0.9239915528600338	0.9693051478950643	0.9726966678622385	0.9906605132131514	0.8629326862881198	0.9964687237696045	0.9857465751160235	0.976370887363483	0.9394362444992078	0.9344343937524249	0.9978658608099494	0.9890904707324697	0.9384627088341089	0.950648022362281	0.9599474164730912	0.8226055041098942	0.7670670270312239	0.9813647527389716	0.9894141683241564	0.9687470369078747	0.9948684781244683	0.9662247396143537	0.8663202542521815	0.962844339076372	0.8640994437723907	0.9778513848698657	0.9740365312766316	0.8726164794047647	0.9824603268423345	0.9760793543988725	0.9747319014644013	0.9907642236170456	0.9955944290057731	0.8773118688526659	0.9015839292028656	0.9773217726173852	0.9801622622392021	0.9262138115750614	0.9956396594753172	0.8242917881301959	0.9421157116548751	0.9965760481681054	0.5994863406942005	0.996920620112611	0.8393120483210239	0.79303489540878	0.9948127787685676	0.9951519278098901	0.8316102969714457	0.9975891719256714	0.972976054624109	0.948513493048784	0.9746272919727533	0.9896790434376518
