GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
dcuB_fumB	0.12509596982412793	0.13088281135112234	0.07053491431283612	0.2894664184986893	0.22776802815596572	0.09264048797913363	0.410534986033217	0.21434519241980007	0.11562893387436651	0.18210233733352496	0.11748637187139847	0.5423592201999985	0.27764914196644536	0.31778328426241714	0.22051088526326557	0.1586871290234022	0.1055492834538721	0.3218043825267628	0.31823600926485734	0.09879490409881703	0.09962804582139317	0.24375445511917182	0.22753945092127717	0.33869379151692164	0.3302543660794744	0.27234861535461885	0.2011853721980105	0.25847891044303684	0.251714996940306	0.32392157858797493	0.15903075408656103	0.34189337657388696	0.41566344079008916	0.13874519268556387	0.08834487730812339	0.1654092750214029	0.39412500745213513	0.1134504340004416	0.038633386193910976	0.18600278306587673	0.07398865952364274	0.2761410388797979	0.29644184633044524	0.08015850640394168	0.17574873037616404	0.5018222576466906	0.22388257309091067	0.28872415735030194	0.20804461529321006	0.12826617882761684	0.3115660452585374	0.1490346472800116	0.16831683569208425	0.20376289773334558	0.3651444489357422	0.1482565582326229	0.1185504649160784	0.15436315303844442	0.17386257075402403	0.17719258877563085	0.3424414855410336	0.14012213793865486	0.2190347876040594	0.3476161617440913	0.18955697080312314	0.18062018383045006	0.3087390615997612	0.3465342231659141	0.03866463358148096	0.3603966916698649	0.27110407153783134	0.2222859276039427	0.31099418927689426	0.046410005947966085	0.44804896448067044	0.21955778247318974	0.13505674231962705	0.23222597071081774	0.20069944872023496	0.271131347351509	0.32258995991839706	0.13027990308460086	0.13218802816683625	0.24615981017257912	0.0766467183428753	0.17239694024325078	0.09054326948627504	0.20957213697983226	0.5183511180550306	0.17888866797682776	0.07597656420728331	0.10406817937944501	0.23512068681278522	0.15959562638327415	0.35742732493541457	0.16076553299142166	0.1940452352069299	0.2042687179478373	0.30395413310229324	0.2425664552743044
crp	0.13678908604197204	0.8180430328853653	0.9543115119591279	0.1138229838148398	0.17949636060648078	0.37488478259183466	0.3899683956988156	0.5717063096817583	0.8423581213234244	0.5016626920551062	0.9264043015439157	0.35269328812137246	0.4205829158890993	0.03253267772536139	0.5046705685090274	0.7604758327577569	0.9021301395114572	0.31592415693995723	0.4785933708772063	0.5601581167429686	0.7914916852607324	0.35781931411474943	0.47329271445050836	0.21783486075075223	0.625787258381024	0.32967253037061917	0.3525054915808141	0.06946997438809	0.35051933117210865	0.1395153399826452	0.5840049672406167	0.7343366204659949	0.21276461525846224	0.7179112056718119	0.5306396062951535	0.8457278233550135	0.22891439057472895	0.5230897662695497	0.7487159016341566	0.6536191449033233	0.795300186838241	0.6968529028736686	0.67158164232596	0.7073306320037884	0.9081738340680254	0.10819537963908354	0.8426408727511441	0.01430989283499273	0.6776409644250182	0.699457898027372	0.18614953930657516	0.9989642692700684	0.10794390252017318	0.15487038255225127	0.20192812453586315	0.46373551199212665	0.8864418140050546	0.4350315318442881	0.4285600120201707	0.4659907929599285	0.4848692012019455	0.7615281059354126	0.828703909814828	0.272700301890928	0.5467888133134693	0.20558841205495412	0.42970948037691414	0.030133587108058805	0.8180768787747487	0.7678957076070027	0.5943378780502826	0.2178883634590547	0.33433129576519427	0.49362473050132394	0.2101144201799734	0.35118034109473223	0.18966360140086827	0.1530413108628742	0.8449478368799672	0.24702577558165506	0.2350341898014766	0.6891087428331011	0.8703130089603515	0.4888776720035821	0.6138410700950772	0.276165386469057	0.8063624817303392	0.52834332594648	0.2875891372247412	0.9961971971506336	0.8488836409242989	0.997734688993282	0.0017566270580228194	0.6785405667265626	0.12021971009884636	0.45716070546768606	0.4160265005193651	0.8231849654331967	0.4780859295278788	0.5635302062146366
yjdHG	0.011693805921822786	0.26201129759461983	0.1680307428932664	0.4366954271681607	0.6138211279176176	0.05709920181530714	0.37723483075387776	0.5956742593552917	0.09836064619042893	0.6494515584781766	0.12927255534686066	0.8715945893806321	0.6663016653927553	0.6589960230360289	0.836491567050925	0.9810055822591567	0.48643447272479534	0.4282271726988256	0.5793120206799358	0.0967288531329923	0.252804773928729	0.5193383332807571	0.9702813058508017	0.06971972139971028	0.9739873209444058	0.6628674131431547	0.5515193652827293	0.6007550908252597	0.5248647504486144	0.11664873615558902	0.8254082067589811	0.7750590700956925	0.8913846576467738	0.5259288775268942	0.257183600462225	0.15508221683882883	0.6677344237573132	0.11281294958444332	0.1306431296467434	0.6864420777329212	0.18786614629395307	0.9104353969993927	0.4176923183258623	0.06914174745281665	0.3645024267025292	0.6445590609218925	0.597655869089067	0.11963017954099464	0.4956975053064525	0.6225342722609639	0.7909776892942774	0.2722198956740395	0.08812518069483412	0.39366766437888145	0.22731911926613926	0.4225577199831605	0.23374223958949747	0.5236493479460478	0.4460780918598175	0.887708651116512	0.6734970483838817	0.6121881164144725	0.7592597794477364	0.5738346399739385	0.6241929484531283	0.6122426439542323	0.29749649880178297	0.5800897541921586	0.15109748276482105	0.9892387274703479	0.8670073497896162	0.3719273160677403	0.26272548791775696	0.005594009611760931	0.7671629706523251	0.38100421288982034	0.11133067357803106	0.1418391814001858	0.677613573169406	0.5812755119986832	0.5065606231801212	0.5122457353863865	0.9100347242785165	0.04464135425636784	0.04026088331417976	0.8743672852038887	0.5506400044541806	0.9421607460044195	0.9072717668135931	0.740748420993076	0.6597203866011435	0.17343576841849617	0.1026735023376124	0.9258353399686748	0.8589586926283738	0.36877038073726004	0.8093793288726925	0.8456954277426353	0.7853671549649953	0.6368719893507659
focA_pflB	0.23360146509724242	0.4717003264775595	0.4248028317825175	0.2152410623803085	0.17715949059864924	0.29759453190822704	0.621730538857899	0.4301157145540974	0.5053712171014149	0.3913179300194152	0.5406653628504139	0.6178021482432637	0.4622380719927667	0.22385489502918762	0.36889084276148376	0.37597103058518055	0.41750869527065776	0.4394230133940476	0.5330477544441217	0.42156810154677116	0.3846227196846255	0.3659778160511005	0.36629842224032566	0.5268538808321591	0.6106694349406219	0.402568573832735	0.36749462626450624	0.09476890258492886	0.3738894844738785	0.4588321994789536	0.32611733279133553	0.7500960680393433	0.29986212596667167	0.3931425590535155	0.30112839398823377	0.689950514937398	0.3723039242574358	0.38401315374897554	0.2674266885503299	0.40079539036928924	0.3560970227957964	0.5799626847481246	0.6499997783094419	0.3326413052526646	0.5932404599402834	0.37647303705669277	0.5415179354715215	0.2955194245947359	0.5215318588227574	0.37525975966842495	0.23904137421214447	0.683310428988549	0.22589550487518148	0.2637147914878263	0.45043506704764863	0.30117090937161173	0.5499759749384933	0.3113992252746309	0.35680070043830964	0.32552766951115203	0.5077808511132982	0.41068117722158015	0.5880904917085455	0.49920034774524585	0.40797179786650506	0.22084255173898787	0.5747678900263791	0.2204802551318678	0.2742020722545964	0.7274352910474771	0.4962359675805573	0.3324459425761382	0.4964113168420523	0.24392183358149067	0.46166871696595246	0.3853292741768603	0.2343515467670722	0.32678859049671233	0.6101153221046125	0.32395680943587557	0.3706732926403121	0.36461876575726476	0.353819959195716	0.6547171818234833	0.38939528853316135	0.14639812112959427	0.3283293371552758	0.4356328220665627	0.5074645944296886	0.5593357486533127	0.2526145214819715	0.4591492260100048	0.22588497353024056	0.3534851407334949	0.29609846489430364	0.3248060597401215	0.33971082586863516	0.5770793293807644	0.487007219793653	0.5169222678750286
flhDC	0.15248900530163342	0.6110146163996217	0.5923729374571076	0.41895510965831834	0.4770795183189412	0.24928315876257892	0.5693712362105696	0.7219899158129875	0.4023102468007961	0.7441887068159418	0.4826164736121354	0.7550539062636812	0.7036109707780422	0.3002980493613752	0.8248665408369863	0.9061311746870998	0.7726037493771255	0.5517990909793993	0.6979137550063427	0.37315619218341334	0.6085344805053134	0.595183864569345	0.7538488902108605	0.21593184317797817	0.8954530283433556	0.6932714698509674	0.5995244711844547	0.3467437281739757	0.6207883709995873	0.20653018941167653	0.8334460664024378	0.8466307417862843	0.6231377824330916	0.8123417259288851	0.5478609248969412	0.5149641430032007	0.5642489975370558	0.38606703121969116	0.5021260766760943	0.8292001840836798	0.585132999867896	0.9148134727418601	0.764372832385906	0.3734983286037273	0.6883952118853848	0.41404294437596884	0.7773904397576344	0.09338992520562246	0.7315533396417768	0.7632595729586553	0.5148111685311231	0.6780527301367683	0.16004468932773286	0.3755190783573144	0.33009015572518047	0.6442092031104646	0.5861025468327623	0.6702871959963524	0.6043564895755363	0.7959175313565346	0.7685035859283476	0.8447713741982357	0.8880196660630795	0.5618088368939004	0.7399197351347239	0.5154387757115548	0.4920949175343096	0.2636712451713093	0.4865536474368923	0.9432628290392607	0.8955903544439646	0.3976316751890464	0.47441211369492364	0.22026449889160843	0.5402963685312858	0.5300448149446148	0.24165382452914225	0.25424077650045307	0.7890249400639282	0.537875138394103	0.5452674605497955	0.7662411936614284	0.9425961428265186	0.28556824703133804	0.3171020634036218	0.6683739165409153	0.7572981527721201	0.8136860615393307	0.6634055751862719	0.8834589922373639	0.8456038035014226	0.5432586169957201	0.06420947624515251	0.860170224791262	0.4857049418112705	0.5697517771835716	0.7861972246916784	0.9054140403006335	0.7847356804314195	0.7907537477220695
glpD	0.07606474023346019	0.9247960393628982	0.9818557121056334	0.05276256597927233	0.1190130086811606	0.4513362390691169	0.4539874309705206	0.6868963323525157	0.8967839326580147	0.6490133355624547	0.953203504573198	0.423715230230525	0.4742405159012971	0.004702998746811577	0.6409874381001901	0.8501980976841307	0.9395307667130247	0.3336129926247243	0.5957526821822376	0.6086211322033519	0.8848903399129756	0.3983340350949907	0.5776549266522285	0.1886057719158788	0.6898385133381164	0.36240492977416244	0.37955326621398583	0.0208065809547289	0.36913505322896684	0.07636577231274669	0.7343020118612178	0.8290130058800524	0.18517995244673047	0.8035417566414882	0.6377057627618338	0.9313500382357295	0.19056016790534128	0.6724486661267197	0.8346510369321976	0.7991353695583203	0.8885310520127777	0.8185987169362681	0.7542058095400911	0.8073545718004759	0.9399058064950054	0.051572333437395576	0.9440240020947565	9.225956941145583E-4	0.8199921245120858	0.8452517089129825	0.14669759464079665	0.9995299611007126	0.05133457699949004	0.0915388479948788	0.15530261935654727	0.5810520514543802	0.9468087731247722	0.5132824839804221	0.5285680150671542	0.5635364930985538	0.597770680853569	0.8470393518785817	0.8773658504222589	0.26107920509541566	0.6695442302406619	0.16378517589045807	0.47050554505868325	0.004040169795291139	0.9011368700748579	0.8570162413122712	0.7612749711658512	0.16606245854834192	0.3809569716832937	0.5525791106236586	0.17645215052056326	0.36471221723031727	0.14994561685318722	0.10234975256748598	0.883794845212589	0.2093017548013054	0.21202746907045852	0.77653216004617	0.9256237778123113	0.6091202687600862	0.7293981829858228	0.26520769703982955	0.9147845507635983	0.6920620967840696	0.26802589868995896	0.9982780257860063	0.9089745176351186	0.9989718537669614	1.3702887476393881E-5	0.7664358054329459	0.06287362403284609	0.536445951492603	0.4847228708443284	0.8989429520340148	0.5812169651098275	0.6570426803566695
narL	0.3427892839536071	0.6783333944005965	0.3540997130330652	0.42802695324644446	0.4070295614656061	0.5098168931435794	0.014624614222999653	0.5973072559572756	0.570264789974317	0.916844127195287	0.5632367508951575	0.12189323955585762	0.4313019625842571	0.6790609691272714	0.5741709591820836	0.4319542048033327	0.8850488061974284	0.1303564092410764	0.12111638170609863	0.3665242842398584	0.9584233282479316	0.30268474133176737	0.2047198729155294	0.1184654577799873	0.3438941192819309	0.5356803543400019	0.8761198333546051	0.3242901735397353	0.5948524856939912	0.2718423833717625	0.7810483695468176	0.11459092377019053	0.08682193395751858	0.9104443430468485	0.26761698638010334	0.315140232173177	0.1586262263589202	0.9849534168745032	0.8926638906777448	0.32800887930039424	0.41996614402160043	0.3807347612455487	0.04659889387376681	0.9588636691824807	0.4085538473445922	0.3078122779288722	0.11782690067432111	0.5448377069551498	0.3704838596750051	0.96455795552986	0.29998216056796323	0.0173771649395843	0.8757709118374342	0.9530646460993637	0.2632722068816612	0.19443353361126603	0.4705778940115124	0.8141818682119113	0.8558419523931103	0.7227645310774268	0.07267474434741161	0.5442904629744589	0.39590541808865964	0.2619614885994682	0.46007799427025026	0.8969508521274415	0.10239392006584636	0.6699171041624726	0.8365182875842047	0.05592614277116925	0.31675641866582605	0.7420014566374205	0.0063798760370614715	0.9674515843583712	0.28204952275943174	0.5823195979464799	0.9616552007199024	0.5044353751000017	0.45917717576958234	0.735119343990916	0.20166916074824182	0.21737607760232192	0.9425193093927424	0.09697940021835671	0.5210304674692452	0.5986351608298719	0.660362882484381	0.7810524380548347	0.09684009851708486	0.08150767523872804	0.7931925651374704	0.5078724334016442	0.765824926519114	0.45228199800476426	0.4976759559940546	0.811666351822644	0.8222676605914577	0.4727890470530838	0.26854553383992663	0.48527292255312204
fliAZY	0.3395708881929796	0.7580648796381594	0.6942488434192338	0.8190724302251274	0.8167483767047903	0.4597352592989961	0.7598837927264629	0.865985959405249	0.5305713959657707	0.891288657723874	0.6385079742596241	0.9497306914704657	0.8904887030473347	0.7458452064782	0.9489990523685972	0.9844433308561463	0.9011546817425149	0.7790269835590011	0.8932327507476999	0.49786633113984335	0.7110115636326378	0.8150077372849415	0.9689372549819453	0.4183062619466443	0.9818317100744877	0.893183111137095	0.8587896208601429	0.7019196300865681	0.8562206760544692	0.5145622536342765	0.9613620953806216	0.9399016628278254	0.9266530897456899	0.8942659277192886	0.7107830672158358	0.6500003368957872	0.8980397374022014	0.5476056393995524	0.6234877010067404	0.9285350097685848	0.6270948452184895	0.9771810837736475	0.8737968357679474	0.5050331560269455	0.7902347708765494	0.8250044747018143	0.9108863665647686	0.37110583682756376	0.9091905482564574	0.9111226909347626	0.8824561718933566	0.7385776518241833	0.40349705347100584	0.7523243483197807	0.6126509991059779	0.8341703682687633	0.770050768730608	0.8582125920532554	0.8184961553191631	0.9405993332946466	0.9036519693386755	0.9249050945883913	0.9553667775015975	0.8594940201319375	0.9370811309284043	0.8079451144849001	0.700941744070015	0.7219229223265835	0.591128163979126	0.9908069013536458	0.9610327058362629	0.7716228345016121	0.6834206535335965	0.3194025243286616	0.8696684246171246	0.7631484546323998	0.459354418488605	0.544592577753022	0.9149156998883945	0.8104291375448658	0.8378959722868332	0.8982129979281116	0.9783030538595567	0.42758284734908814	0.43342273658244873	0.920367864673148	0.8878161395120574	0.9759174246797605	0.9351768063715167	0.9418416451198494	0.9473509168275533	0.6045229896479789	0.3319577112709233	0.9746119871583139	0.8399258256615088	0.8316744765627536	0.9175507929522134	0.9706732035197422	0.9518537813615965	0.9053475766499829
flgBCDEFGHIJK	0.4899763880318178	0.8920941143201239	0.8260081097379519	0.8362196588356131	0.8162725795798913	0.6778081075397561	0.8595979139701538	0.9176796137030935	0.7384660810855388	0.8862307418109762	0.8471410557566126	0.9331350427992445	0.8939733835023635	0.7251928953896727	0.9552948710158039	0.975627799028353	0.880255088522312	0.8578187733189607	0.9197786295268474	0.6971028335650977	0.8637917769190931	0.9016105221828274	0.9214247676492567	0.5702559784174632	0.9750545423971135	0.9289886810199465	0.8518483959019612	0.754206445628153	0.8943874305333018	0.6592125715331868	0.9627472684940556	0.9573807156394344	0.8976421429007695	0.9427394295850795	0.8316732940060281	0.7762469469596439	0.8673486669780989	0.7234829157501756	0.8016335103588941	0.9601239190857527	0.8623994780815333	0.979836858716443	0.9332933026289356	0.6499998209636325	0.8607182616835232	0.7607181098183649	0.9438815929257498	0.5010059915450781	0.8905417609877897	0.9473319985617749	0.8662519791582816	0.8770847705986702	0.5346886708613777	0.778832656948515	0.7023521811046131	0.8384526714887132	0.8410038719164534	0.8755963347387078	0.9054483666823735	0.9439468712813389	0.9296159381312742	0.9643126283941866	0.9729278218019396	0.8404620992327521	0.9342826748226516	0.8813864339372318	0.8056250903372532	0.7574080284346438	0.7638374052375773	0.98779081419093	0.9739123369601488	0.7253502935975076	0.7665559150478939	0.5468951298266544	0.87703239726285	0.8201717290325466	0.5963487932017664	0.6608426350944437	0.9358886169220305	0.8380267736552267	0.8749662187585413	0.9293202711475095	0.984539233119474	0.62605827233168	0.6719510396163667	0.8989140450663826	0.9270586111252137	0.970493172610154	0.9022527212596712	0.9675120076062579	0.9621159055683239	0.764435149239076	0.43924824558667236	0.9746949854337185	0.8643999351524957	0.8032837865642408	0.9407753531297566	0.9774286145821469	0.9260982922215917	0.9421003363522905
flgAMN	0.381497460533979	0.8615708043828411	0.8184579371257301	0.6600655209384316	0.8097491473255924	0.48924655172196024	0.741639929143073	0.9172810706965948	0.6926789434364753	0.8521781974260102	0.7023505598048935	0.8758209189406083	0.8804276489925279	0.623243644531039	0.9446409656722656	0.9656529132987564	0.8931892667322278	0.8295912896696594	0.9198394010837471	0.6332810482706639	0.8860172342193564	0.8329894482855006	0.945130373951187	0.43868679095531454	0.9682699693975456	0.881546602688135	0.8018254978086188	0.6220333751629857	0.8518072329537605	0.46956257908014337	0.9195681385531332	0.9515873961770618	0.85408627352726	0.9213632363117785	0.825788015670325	0.7259894840797794	0.7696708752767432	0.6990124149951902	0.717403367180666	0.9297683084121028	0.8304449927480061	0.9726831164467981	0.9263205212922377	0.6536117184386409	0.8642711685297126	0.6811738283473315	0.9348175517614491	0.24750763259095201	0.855522230165909	0.8751675610263973	0.777384669717989	0.8340144875020667	0.3530170781602588	0.6325925703549945	0.588201419941576	0.8435597858475624	0.8367860143373128	0.8451215950454857	0.7779642192622248	0.8996149741594947	0.9178118699665778	0.9392727323470451	0.9553703749364355	0.8361673421667224	0.8962128408526565	0.7659066778530796	0.7764120634870731	0.46418825276736875	0.7219837181933153	0.9761765110843375	0.9540865065206465	0.6324818799363495	0.7487088956712502	0.43794620340727386	0.7931460006472023	0.7824293201885973	0.5105347547998512	0.47663381712208813	0.8956689118800937	0.8437270095439126	0.7287927820680874	0.9292909178187795	0.9817976959610862	0.5779292894791949	0.5933547177440518	0.8552184177629498	0.8912042431211047	0.9393119802728528	0.8406915714936345	0.9526398625095054	0.9375138565909623	0.7370549310194868	0.17282750307695247	0.9579312479980474	0.7552169468650863	0.8351669174866335	0.9209852653901639	0.9685580011510107	0.8967829758661319	0.898400397412972
