GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
gene_062	0.9610492919900765	0.9667339384554919	0.9028810519434093	0.8786042602105406	0.5842601189093007	0.7880088047238356	0.9321858247225904	0.6400168326983913	0.9968555069664151	0.7669103563899011	0.3914046297206424	0.8614729940029313	0.4575339533432507	0.7741014631449257	0.450885759070284	0.6283453762625366	0.9556913245977955	0.8739238648775826	0.9922855292057623	0.8333888460817328	0.7681492377648719	0.9853990752887374	0.8578967863652736	0.6329338701981514	0.9581191787050226	0.8534176861868943	0.6245633022964301	0.9042602824109536	0.8318378547082218	0.7024109555046222	0.5165346634674519	0.8779404105467105	0.9216438846149854	0.7534650821368971	0.9892505519056648	0.8410330248602316	0.6039538908919425	0.74685776366614	0.9880927333809173	0.9736773363349455	0.7789415737061667	0.7643947504684849	0.5107164623975591	0.1763186374822248	0.284231130330833	0.18624902736826904	0.9189223442775144	0.8524157955328455	0.25815509828008626	0.9699931087437061	0.8880240515143165	0.777094392058365	0.21262537725895686	0.7783374737198452	0.8560878324891701	0.6534916631495917	0.9152572535578696	0.9817850610824371	0.7598418670863067	0.8187214348198876	0.9950232654998404	0.9609808098726541	0.33943206299858714	0.25297985934226636	0.6671684257755096	0.8056616763792434	0.46733281680906985	0.9870470607286814	0.7731032186567404	0.9085789846706218	0.9769298109433571	0.7099890354172824	0.9995198587538769	0.7683218472910099	0.360400248694928	0.6500004398550312	0.8318876405739822	0.9907946999423366	0.8175690028988132	0.7465233156339082	0.9202525881541362	0.8890879557949071	0.2936734392412014	0.8560748801007021	0.8931942228138233	0.8833720183490135	0.9721799309980714	0.9954735840156891	0.7277276008972035	0.5022614454882668	0.6377281248783488	0.8703668371163749	0.9925452307119164	0.534482765630447	0.6836114751325248	0.103757673412951	0.7931722602411938	0.8763636679683244	0.9477605071209451	0.19686684295119658
gene_024	0.02231869261496749	0.016349597681090802	0.055955681324874176	0.06354851132877681	0.2814560456288812	0.12077113043673524	0.03673583491078877	0.22192537999933562	0.0015549910071433481	0.13402153386612642	0.4373611827340694	0.07823333158144782	0.355968998744188	0.14175220170853356	0.42017761415862165	0.22200406178034174	0.023196375699034735	0.06844205716236611	0.0038260040270637215	0.09081039507086996	0.13198855713914137	0.0076516598957067205	0.07514028980276537	0.2442745677806541	0.01971404045996763	0.08249296675740911	0.22253480628348735	0.04888736616572797	0.08658139106325037	0.17381926593799196	0.34208092490823966	0.06224076611183616	0.03961899423724523	0.1434302540279974	0.005766619075700363	0.08716548133137278	0.2565241601211447	0.14783452951573037	0.0060476352223662	0.01422657457332238	0.12423315054304306	0.13979338940057465	0.3515355251483367	0.730504615312034	0.5683566863195311	0.7235574458624923	0.04213379060313595	0.0796247253594538	0.5995398502315231	0.01573238095578448	0.058953570901492745	0.12558731524804478	0.6420232668427684	0.12141386771114746	0.08655898330471495	0.1910515319388072	0.04678484664544038	0.009924049319209908	0.13537307023117418	0.10974058458282407	0.0025284467389948845	0.019249027677993923	0.5102851642567783	0.6000261698908732	0.20967038426852405	0.11971455208187418	0.374738164776811	0.006886171484576653	0.13257006156248877	0.049131349617749856	0.012673133931423908	0.18573344307489656	2.4554464543191326E-4	0.13542660677307344	0.49262145463520657	0.22456162530390833	0.09311335919500414	0.004873464072899291	0.10593537930599649	0.14131271045574512	0.04425270027255868	0.061859423323915065	0.5509383775876789	0.07604974127299662	0.057231065556973666	0.06419833640200964	0.014932733866634948	0.0022219937737320093	0.1623071413632353	0.3578916061433485	0.22849462139123483	0.07282627137565699	0.003553082677537191	0.317893509068379	0.20322072040468478	0.7679655350386133	0.11302878178869388	0.07126584111387496	0.030195090609994053	0.703864356635155
gene_087	0.9839748630106145	0.981686837993021	0.9367354508266204	0.9541474216834341	0.6453608314257088	0.8505358908788517	0.957033693121898	0.6909087139216619	0.9985252389271091	0.7829277312506651	0.27921810739030833	0.9214015885261531	0.3736830689359044	0.8707194897432108	0.4092137489333771	0.6761073101555538	0.9740307904920611	0.9203200548517617	0.9964291163642861	0.8836634601405584	0.8516268394439073	0.9927914452549361	0.9233217183139263	0.7140135891598168	0.9798268681503445	0.9360512645665681	0.6625234682564166	0.9426442406487887	0.9449745877812228	0.7346206486112018	0.483219794732337	0.9272489786494076	0.9628558679475456	0.7669151911773617	0.9950013583772616	0.9135408457940416	0.6305846565713117	0.8462248992617779	0.9946774949402173	0.9876907418755356	0.8589338763035004	0.8206724354841616	0.48264288185781035	0.03918778754032018	0.1243197797328819	0.03755768887742845	0.9502843215203779	0.9353433474990086	0.10440314266719951	0.9836318803944007	0.9215417503632181	0.8345808484333019	0.05964553675845365	0.8433904114113457	0.8997393847331858	0.6870836347656324	0.9427131857395907	0.9914931642255701	0.851613356817822	0.869821940809958	0.9976569782094391	0.9799577388045734	0.20024954357629812	0.09277697952776985	0.6729016978579262	0.8706864456427045	0.42641846249057136	0.9939956140914469	0.878040149621362	0.9525202032159679	0.9898904367672493	0.8163481521556869	0.9997779193608963	0.86155221550576	0.24971501753840183	0.7583373741693843	0.8669731672591543	0.9957486910495753	0.8576074532793518	0.7659627219226964	0.9414977752859498	0.9468133840202418	0.13745588873409498	0.9181991897926223	0.9233562100801374	0.959541515766548	0.9868911253146098	0.9978626961877165	0.7667969521638264	0.4938903387232899	0.6845202770844758	0.9406578829312571	0.9964887259539796	0.5377517577276437	0.7374655256538483	0.0072774294299442505	0.858249641630495	0.9019629996172656	0.976954435908154	0.046253245114373606
gene_064	0.8967062128134605	0.9170714680089427	0.7455680750379088	0.7122560739217922	0.32359809390262806	0.5158334488514811	0.8061792952384822	0.3645753297023475	0.9902771315338618	0.5697301379404962	0.1732132673440525	0.6160714728757739	0.2082303766575242	0.5243694223463535	0.2175439953624808	0.36328883562237024	0.8402245185076234	0.8101879298913369	0.9771841174867434	0.6112178261391819	0.5565481432713568	0.956818135293126	0.6771930963805354	0.35622972645796835	0.871849243082743	0.7003997447790706	0.39372012484818697	0.7550914947098014	0.6562915484979196	0.3913720385171473	0.26130331593615563	0.722919782083982	0.7594850343419062	0.5492684827186167	0.967214626565459	0.634672018000856	0.34842065596001803	0.5346333694178611	0.9643287179378349	0.9243589742822402	0.49858692800626153	0.570185907650739	0.20976855677511141	0.06254795201784813	0.11603598902103518	0.07008117779491319	0.7341769531294927	0.6589144902958994	0.10176223071469404	0.9099974615295576	0.5817189808003604	0.47523787152022123	0.07170344732752443	0.5478911604732275	0.7412355343760166	0.4305357753764838	0.8016136029971317	0.9453604688461482	0.4870776089373976	0.6348040387965739	0.9850695824404381	0.8813028109076263	0.1582677686052698	0.09603425394658682	0.4047869343776256	0.5067685772664845	0.2266601740643821	0.9605317477444588	0.4960636030882597	0.7808564098970909	0.9394788721744131	0.3772305566817522	0.998487791678007	0.5403525782749057	0.15150477087961056	0.3306970699421147	0.6192490947432816	0.9696826898935809	0.600326533196494	0.4775079151149839	0.7873697059328599	0.6280338529031724	0.1207009945919315	0.5774377516936511	0.7110064788452269	0.7592759623156459	0.8983097152798609	0.9859252523984278	0.5122356584761292	0.2350422098638626	0.4039530025329441	0.698609318574769	0.9773089913570988	0.24684684484187588	0.4798077007289976	0.03557555366502074	0.58829804812558	0.7208764636267139	0.8407915977480127	0.07505552308992114
gene_074	0.9596752999808673	0.9739541427003258	0.9287138177045712	0.9086093522790938	0.5208242175602925	0.7264302320596304	0.9172619474408908	0.6100743336279416	0.9960353735317601	0.7549585356581661	0.3671624541708595	0.8065347298492682	0.40901678427041027	0.7143692045522171	0.3907027856647357	0.5602780186588253	0.9149555006150498	0.8774632117969587	0.9901028785534667	0.7555440381167439	0.7360525896047754	0.982052406216001	0.8153593341897097	0.6125616771992732	0.9091523818715829	0.8670708796223607	0.5918617139294997	0.8551797451710851	0.8600174886627611	0.5751948834787823	0.4616991596641837	0.8678408537794584	0.8530017265722769	0.7588938976214488	0.9873532442526828	0.7975937573282471	0.5514608189332649	0.7810571206134125	0.9824541533431177	0.9728974667873705	0.6904710396039008	0.8276123093050655	0.3758472499514861	0.14951569619706942	0.23533105217263406	0.15729817603082927	0.8171195063617904	0.8666191913068095	0.22064786056046856	0.9567245603705865	0.812542577917455	0.7472724181884052	0.17339504980219397	0.7610918220034724	0.8848099363982551	0.7135351939183975	0.8996080690832673	0.9741131938499508	0.7328120845911095	0.812830441216125	0.9937304716066225	0.9511657383586528	0.31189008748193486	0.20762277474648702	0.6084727773821825	0.7442667120079838	0.43204134255634546	0.9845519389367173	0.6845590669523962	0.8951540198391049	0.969743530654968	0.5265200568646065	0.9993746605872049	0.7757411132643438	0.29170420167393224	0.5195617351014477	0.8082317248808855	0.9866706195221419	0.760731909458739	0.724832828252186	0.8959436498842471	0.8444944611032186	0.2383516866109988	0.7595458819422403	0.8872881950782955	0.8561620041775183	0.950563574532502	0.9941638330778226	0.7387787351243654	0.40855327272539754	0.6232286309023289	0.830690374284945	0.9900264306937855	0.4219629541725518	0.6949383163810381	0.07886429111036737	0.8318061803122488	0.8585502895327217	0.9411690667334326	0.1624659786699899
gene_028	0.988231055589364	0.9925159903134936	0.9747441728003903	0.9663365277477454	0.8262931740148061	0.8950026001651884	0.9772299560163087	0.8276492645006048	0.9988216700401445	0.9130693198418164	0.6579522574902958	0.9373270416855616	0.773626054526534	0.8851620220386046	0.686275632983809	0.8105957784876441	0.9714370120810827	0.9598229117544811	0.9971306230841488	0.9108665776118268	0.9129123885277395	0.9947582135429278	0.9208763623656165	0.8333462252759775	0.9697007601083104	0.9656932193466167	0.8494835889172276	0.9642623103755723	0.9629130070336162	0.8143986198914636	0.7608323537773127	0.9569637010772536	0.9326319243772715	0.9353858406180531	0.996340134922286	0.9454001415137945	0.7791436776807974	0.9087714230054377	0.9945821057874724	0.9913226637566868	0.9246100053315653	0.9271829133205133	0.6754260195439086	0.3713682210858582	0.5241833919394846	0.41088296032988786	0.9476355457283643	0.9601757335527652	0.4465864327557308	0.9875901016533856	0.925283428847322	0.9217659446480914	0.3948862243229051	0.9116397105383236	0.9558822079183332	0.8918065921877926	0.9697864156036433	0.9920909951529199	0.9089246045804059	0.9491034011649496	0.9981483812325379	0.9839992586668811	0.627772511707368	0.5024337701599678	0.8901215730492086	0.9115475512423065	0.7273753323250398	0.9955564417958627	0.9109656694384638	0.9742031548737825	0.9907690347557169	0.7189397838536096	0.9998162285492694	0.9354784909545755	0.627344913017251	0.8037555640207084	0.944275755263011	0.9958066130419291	0.8899464998567085	0.8845802703934709	0.9649730245737227	0.9628904780105322	0.4969033665814789	0.929653659578745	0.9608724439133258	0.9358429972030857	0.985122778280655	0.998300984728146	0.8841166476066982	0.7502307170893702	0.8495861007827351	0.9495930361797553	0.9970821518312976	0.7049910218143315	0.8607770839271023	0.2324890807501811	0.9435696593989472	0.9519176422852705	0.9836164010011107	0.40819369864797483
gene_006	0.9854014170189531	0.9898012522389676	0.9678549281927458	0.9583285613500163	0.7681039170792353	0.8736264045913872	0.9685837533626614	0.8377590245728694	0.9984535932161639	0.9214614912588569	0.5722034208623885	0.9325859749612296	0.6928306752709732	0.8697361409516025	0.6270590824671265	0.716085107896457	0.9617345913803567	0.9343874031496453	0.996267468764372	0.9023691226796222	0.8497934307620789	0.9929924237223914	0.9015771447540714	0.8347149970254776	0.9687150796979709	0.9570607356624394	0.8067950574854176	0.9250780960235745	0.945277467317788	0.7969554690858176	0.73473515221357	0.9561285597482503	0.9361435404281929	0.92222237290933	0.9952241067429797	0.9261590902795315	0.7734224576704067	0.9049426123969282	0.9928939247262201	0.9882868398823248	0.8577697938931298	0.9239458947760961	0.6154981952295767	0.30852187401252185	0.415814464551644	0.31992016956288466	0.939356048732352	0.9452730018326186	0.4290759161619994	0.9829746261155689	0.926976403729382	0.7844796386528988	0.35793627131484257	0.8757129979118138	0.9463120830173685	0.8515298529716637	0.9562883214629808	0.9894038649338396	0.8714799776556745	0.9314379416249464	0.997471592475428	0.9798291188292114	0.5636083646079418	0.41827203215500736	0.8081391796290176	0.8751677618923435	0.673774531410668	0.993929428554582	0.7981922100871309	0.9694047887955344	0.988797073567262	0.6629614165425939	0.9997568594970703	0.9083598002977101	0.5742553265771079	0.7353894829149635	0.9212218154323298	0.9946759985084769	0.8840134348808664	0.9025096959779774	0.9612606520492093	0.9219736448377842	0.44723261418166277	0.9207847330331882	0.9575434306002755	0.8959584738321122	0.9812208967367325	0.9977465178529293	0.8684167223007472	0.6394507275465646	0.8104603732262082	0.9401691210862891	0.9961391270536689	0.6170673997549319	0.8766115494419225	0.1643639850023449	0.951276935818791	0.9529130928652138	0.9787144092327941	0.31488879561442745
gene_031	0.9952093187829255	0.9966508527460903	0.9888764925537356	0.9854304554117609	0.9287134986398753	0.9633491162252708	0.9889078958936952	0.9450275108882709	0.9995024046253019	0.9686821836251936	0.7809785960922222	0.9773974596780943	0.8893122474699899	0.9618720589446038	0.8263918915258022	0.8728809073458591	0.9868239422108868	0.9770402505591724	0.9987907579099975	0.9541656635365091	0.9425233759707401	0.9977772196289758	0.9657566960949066	0.9613618449382351	0.9895410255876238	0.9874513982459661	0.9263554160683056	0.9748944625531429	0.9782198895024418	0.9223401807646244	0.8898354783409921	0.9849176031290392	0.9756263385815074	0.9669321694985317	0.9984500922392658	0.9728485176550029	0.9345269710999417	0.9641077079477121	0.997720074652032	0.9962517862606262	0.9633728414089894	0.9765891924589645	0.7782524218356556	0.5736566070627938	0.6532526018114057	0.6178403806632311	0.9814787431914901	0.9793831869730207	0.6916743318565379	0.9946916521685903	0.9752089534494573	0.9207294519386775	0.6607934687859828	0.9459033243475957	0.9807212907533117	0.9542887641749759	0.984579927999993	0.9965387361938428	0.956588153728312	0.9754638357651949	0.9991861519225049	0.9934827120844075	0.8306839005267762	0.7151563753920718	0.9181074665719446	0.9496285479534902	0.895154918327025	0.9980473759765625	0.9285834003535495	0.988651997574618	0.9964455806315421	0.8963689254641947	0.999921172647476	0.9700257486689069	0.8571650382907082	0.8904855979090198	0.9766033115709172	0.998278224733114	0.9624098097399313	0.9640140345133955	0.9876277744346535	0.9700467142689413	0.7530750752881666	0.9694865429733365	0.9863110389648246	0.9613163384025296	0.9941166652857464	0.9992774199732295	0.9533061781511281	0.8564872192956187	0.8829090906663969	0.982546233870237	0.9987631753863899	0.8335691771280204	0.9466347499909714	0.397585109428177	0.9844319477455122	0.9814708723434596	0.9931309306772856	0.6209491025212203
gene_063	0.9936691556838985	0.9957698825021074	0.9853953202206615	0.9802962446742198	0.933831960108433	0.9342037629937995	0.9867692972369448	0.9288106211769241	0.9993541440822699	0.9703261944938819	0.7401974198676692	0.9627525874498897	0.8680951323431073	0.9567046403582578	0.793489405562934	0.8658176437296766	0.9839408514860976	0.9732410702507248	0.9984355732807889	0.9623499646446038	0.9156267598731603	0.9971175995885275	0.9500456467990325	0.9490877713530047	0.9882238053013679	0.9821913524156782	0.9013663688275194	0.9540674902810734	0.9774135101123711	0.9061087007569936	0.8483736952718142	0.9822084369749631	0.9759533100131178	0.9666623671879098	0.9980625772623057	0.9721803518430058	0.8599073767540001	0.9593204431489597	0.9970263657152622	0.9951016280093276	0.9431110641519279	0.9635053423673228	0.7392908307267252	0.5398076717207605	0.6712210928757409	0.5611068015549624	0.9729348167924777	0.9792632191373412	0.6350958588620657	0.9928530174855354	0.9715787280469658	0.9332835870830632	0.6205200640378645	0.9480940994869168	0.9759792834026287	0.9423849295507092	0.9839726992023294	0.9956399196624418	0.9573420661738722	0.9666260819916129	0.998949180136619	0.9915429500883487	0.7247544273878618	0.6883731048757239	0.9057371685205341	0.9520110851416506	0.8428429021635189	0.9975156392673692	0.8993793376013915	0.9853665666669035	0.9952505057698712	0.8499951427151964	0.9998987844753264	0.9629432963513009	0.7631140684453402	0.8290747127080266	0.963581326600189	0.9978425977706319	0.9469676849663115	0.9563697901306799	0.9838805219802804	0.967972272420763	0.66903677290348	0.9647480279048155	0.9832132785025965	0.9615690458566047	0.992223484618091	0.9990533368795769	0.9403415253042626	0.8186392690424129	0.9125135256986439	0.9692263661531216	0.9983797898358087	0.7987495971151019	0.9192133887408012	0.32546960614473647	0.9816860604602702	0.9796154367079294	0.9912298443983286	0.5144542774870507
gene_067	0.9243643832329582	0.5684474896207204	0.626556752725604	0.8824252693575262	0.7689029179298713	0.7321323203203796	0.8219917755097979	0.6770912296172595	0.8111697406288745	0.8589921827292448	0.8593749923168859	0.7301392846814491	0.5447034837394104	0.6736406110547495	0.453191022464187	0.48130839203873493	0.9312358484359199	0.7886363031562231	0.6500003193483268	0.6552712531608997	0.5817102023178449	0.7802174993438005	0.8181299371420567	0.6626920015106587	0.6788325268315776	0.7638916112903495	0.7617530807960243	0.6521658861837072	0.668041219227563	0.7319497312016588	0.8521450863759863	0.608736570221888	0.6453893932143201	0.7784711357739209	0.9078470411686604	0.7166302445923157	0.5722316933194036	0.6777500692467936	0.8779389665241277	0.7899920678209198	0.7547347227371286	0.7781282454078521	0.520093515906886	0.524914335968966	0.5534801241474615	0.6805246792011	0.7379673518747579	0.520326972363013	0.5806583111381922	0.923460331752354	0.787396621407255	0.7615164902356361	0.5963263805089312	0.7225884933398323	0.7056239028209861	0.8714530998462594	0.8139776522938575	0.8552716228533324	0.7349363431198582	0.7628638901794148	0.8196332954254938	0.7700279656129729	0.7210165112509563	0.36948676080302234	0.6107291780050221	0.7012013017916531	0.7344526046744148	0.580571681583686	0.6629786095626823	0.9346116717666986	0.8696854445433326	0.7969668050115768	0.9020806011522308	0.7982948691572707	0.708093597791321	0.766955156175245	0.7702833204306135	0.7755880933012974	0.7197376682931952	0.8905637966718853	0.8221959763983953	0.8020386503941959	0.6428336698019069	0.6734889139083722	0.9531529952677739	0.8592104070895598	0.7768412753866027	0.5896547588977247	0.7790543160012233	0.6566392006934882	0.8554115327481551	0.842828588890453	0.5899092342296343	0.8189609841368349	0.7964349915428979	0.7352410501569902	0.7408592038742051	0.8744542975474081	0.7518598702339008	0.6903911442439258
